model_name,batch_size,run_number,processing_time
gpt2-124m,1,1,0.20144104957580566
gpt2-124m,1,2,0.20154690742492676
gpt2-124m,1,3,0.2014937400817871
gpt2-124m,1,4,0.20152497291564941
gpt2-124m,1,5,0.20138096809387207
gpt2-124m,2,1,0.4030759334564209
gpt2-124m,2,2,0.9064581394195557
gpt2-124m,2,3,0.4025290012359619
gpt2-124m,2,4,0.40300798416137695
gpt2-124m,2,5,0.40276074409484863
gpt2-124m,4,1,0.9102537631988525
gpt2-124m,4,2,0.8049190044403076
gpt2-124m,4,3,0.9050579071044922
gpt2-124m,4,4,0.8055763244628906
gpt2-124m,4,5,1.0198941230773926
distilgpt2-124m,1,1,0.2012159824371338
distilgpt2-124m,1,2,0.2013111114501953
distilgpt2-124m,1,3,0.20152711868286133
distilgpt2-124m,1,4,0.20076417922973633
distilgpt2-124m,1,5,0.20150494575500488
distilgpt2-124m,2,1,0.4030301570892334
distilgpt2-124m,2,2,1.2744760513305664
distilgpt2-124m,2,3,0.40240001678466797
distilgpt2-124m,2,4,0.40282106399536133
distilgpt2-124m,2,5,0.40299487113952637
distilgpt2-124m,4,1,0.8049371242523193
distilgpt2-124m,4,2,0.8053340911865234
distilgpt2-124m,4,3,0.804724931716919
distilgpt2-124m,4,4,0.805797815322876
distilgpt2-124m,4,5,0.8049130439758301
gptneo-125m,1,1,0.20056724548339844
gptneo-125m,1,2,0.20135498046875
gptneo-125m,1,3,0.2015366554260254
gptneo-125m,1,4,0.20091795921325684
gptneo-125m,1,5,0.20069193840026855
gptneo-125m,2,1,0.40302515029907227
gptneo-125m,2,2,2.0661847591400146
gptneo-125m,2,3,0.40255117416381836
gptneo-125m,2,4,0.402972936630249
gptneo-125m,2,5,0.4027068614959717
gptneo-125m,4,1,1.3002467155456543
gptneo-125m,4,2,0.8054430484771729
gptneo-125m,4,3,1.623525857925415
gptneo-125m,4,4,0.8051319122314453
gptneo-125m,4,5,1.8516309261322021
