request_id,arrival time,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
b01cb8bd,2024-09-19 10:56:07,2024-09-19 10:56:25,gpt2-124m,16,18.272,7.647,2.092
49dceebc,2024-09-19 10:56:07,2024-09-19 10:56:25,gpt2-124m,16,18.13,7.647,2.092
5f1608d9,2024-09-19 10:56:07,2024-09-19 10:56:25,gpt2-124m,16,18.024,7.647,2.092
78e3d2c5,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.647,7.647,2.092
ec88d03e,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.634,7.647,2.092
78cce586,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.62,7.647,2.092
c77ec48c,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.589,7.647,2.092
6b98846c,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.195,7.647,2.092
5d6cac70,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,17.102,7.647,2.092
f27324de,2024-09-19 10:56:08,2024-09-19 10:56:25,gpt2-124m,16,16.94,7.647,2.092
5f0db1db,2024-09-19 10:56:09,2024-09-19 10:56:25,gpt2-124m,16,16.824,7.647,2.092
edf2f5d0,2024-09-19 10:56:09,2024-09-19 10:56:25,gpt2-124m,16,16.569,7.647,2.092
3f7d1359,2024-09-19 10:56:09,2024-09-19 10:56:25,gpt2-124m,16,16.202,7.647,2.092
3d5ceafb,2024-09-19 10:56:09,2024-09-19 10:56:25,gpt2-124m,16,15.953,7.647,2.092
0ee72f8b,2024-09-19 10:56:10,2024-09-19 10:56:25,gpt2-124m,16,15.854,7.647,2.092
5f92a3aa,2024-09-19 10:56:10,2024-09-19 10:56:25,gpt2-124m,16,15.676,7.647,2.092
052dfc59,2024-09-19 10:56:08,2024-09-19 10:56:28,distilgpt2-124m,16,20.203,2.512,6.369
2414a5a5,2024-09-19 10:56:09,2024-09-19 10:56:28,distilgpt2-124m,16,19.016,2.512,6.369
df68b33d,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,18.404,2.512,6.369
d0b7ae4a,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,18.303,2.512,6.369
a90933ab,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,18.095,2.512,6.369
0045875d,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,17.83,2.512,6.369
b2ac3137,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,17.655,2.512,6.369
cf17cf79,2024-09-19 10:56:10,2024-09-19 10:56:28,distilgpt2-124m,16,17.599,2.512,6.369
253cc614,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,17.367,2.512,6.369
4d7e4362,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,17.241,2.512,6.369
5ed42bf0,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,17.216,2.512,6.369
18311996,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,16.89,2.512,6.369
6ff34f7b,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,16.727,2.512,6.369
85bfc1e9,2024-09-19 10:56:11,2024-09-19 10:56:28,distilgpt2-124m,16,16.696,2.512,6.369
682128dc,2024-09-19 10:56:12,2024-09-19 10:56:28,distilgpt2-124m,16,16.367,2.512,6.369
a3e08df6,2024-09-19 10:56:12,2024-09-19 10:56:28,distilgpt2-124m,16,15.624,2.512,6.369
b1c1045c,2024-09-19 10:56:14,2024-09-19 10:56:31,gpt2-124m,13,17.361,3.019,4.306
5c8190e5,2024-09-19 10:56:14,2024-09-19 10:56:31,gpt2-124m,13,17.236,3.019,4.306
e38c88d0,2024-09-19 10:56:14,2024-09-19 10:56:31,gpt2-124m,13,16.95,3.019,4.306
29eabcf6,2024-09-19 10:56:14,2024-09-19 10:56:31,gpt2-124m,13,16.894,3.019,4.306
eb7848d2,2024-09-19 10:56:14,2024-09-19 10:56:31,gpt2-124m,13,16.769,3.019,4.306
375d7248,2024-09-19 10:56:15,2024-09-19 10:56:31,gpt2-124m,13,16.484,3.019,4.306
a38df03c,2024-09-19 10:56:15,2024-09-19 10:56:31,gpt2-124m,13,16.113,3.019,4.306
b2cf48cf,2024-09-19 10:56:16,2024-09-19 10:56:31,gpt2-124m,13,15.371,3.019,4.306
db9ed443,2024-09-19 10:56:16,2024-09-19 10:56:31,gpt2-124m,13,15.324,3.019,4.306
86d3fc8d,2024-09-19 10:56:17,2024-09-19 10:56:31,gpt2-124m,13,14.493,3.019,4.306
3ba9cbcb,2024-09-19 10:56:17,2024-09-19 10:56:31,gpt2-124m,13,14.455,3.019,4.306
775cc397,2024-09-19 10:56:17,2024-09-19 10:56:31,gpt2-124m,13,14.222,3.019,4.306
e72066a2,2024-09-19 10:56:17,2024-09-19 10:56:31,gpt2-124m,13,14.13,3.019,4.306
62e7db5f,2024-09-19 10:56:07,2024-09-19 10:56:49,gpt2medium-355m,16,41.805,17.918,0.893
30d0eb28,2024-09-19 10:56:08,2024-09-19 10:56:49,gpt2medium-355m,16,41.354,17.918,0.893
3f94cc7b,2024-09-19 10:56:08,2024-09-19 10:56:49,gpt2medium-355m,16,40.796,17.918,0.893
d7e71973,2024-09-19 10:56:09,2024-09-19 10:56:49,gpt2medium-355m,16,40.047,17.918,0.893
14c41925,2024-09-19 10:56:10,2024-09-19 10:56:49,gpt2medium-355m,16,39.396,17.918,0.893
7abb716a,2024-09-19 10:56:10,2024-09-19 10:56:49,gpt2medium-355m,16,39.201,17.918,0.893
814f938e,2024-09-19 10:56:10,2024-09-19 10:56:49,gpt2medium-355m,16,38.91,17.918,0.893
8ee56042,2024-09-19 10:56:11,2024-09-19 10:56:49,gpt2medium-355m,16,38.195,17.918,0.893
7f2d1e04,2024-09-19 10:56:11,2024-09-19 10:56:49,gpt2medium-355m,16,38.033,17.918,0.893
340cdf32,2024-09-19 10:56:11,2024-09-19 10:56:49,gpt2medium-355m,16,37.827,17.918,0.893
c3c89476,2024-09-19 10:56:12,2024-09-19 10:56:49,gpt2medium-355m,16,37.418,17.918,0.893
04acea72,2024-09-19 10:56:12,2024-09-19 10:56:49,gpt2medium-355m,16,37.076,17.918,0.893
08fd33a9,2024-09-19 10:56:13,2024-09-19 10:56:49,gpt2medium-355m,16,35.81,17.918,0.893
f1a2d5a7,2024-09-19 10:56:14,2024-09-19 10:56:49,gpt2medium-355m,16,35.359,17.918,0.893
bf7562a2,2024-09-19 10:56:14,2024-09-19 10:56:49,gpt2medium-355m,16,35.138,17.918,0.893
cb9732b9,2024-09-19 10:56:14,2024-09-19 10:56:49,gpt2medium-355m,16,35.083,17.918,0.893
